Company Name,Industry,Symbol,Series,ISIN Code
D.B.Corp Ltd.,Media Entertainment & Publication,DBCORP,EQ,INE950I01011
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,EQ,INE982F01036
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01047
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Prime Focus Ltd,Media Entertainment & Publication,PFOCUS,EQ,INE367G01038
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Tips Music Ltd.,Media Entertainment & Publication,TIPSMUSIC,EQ,INE716B01029
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
